id,name,lat,lon,type
1496,Aceguá,-31.874111,-54.161,PluvConv
1734,Achar,-32.404028,-56.180722,PluvConv
1521,Aldea San Joaquín,-31.959417,-55.810861,PluvConv
1841,Arbolito (Pereira),-32.612444,-54.21375,PluvConv
1600,Arbolito (Salsipuedes),-32.204917,-56.424833,PluvConv
2148,Arroyo Corto,-33.239917,-57.784139,PluvConv
1751,Bañado de Medina,-32.402167,-54.349556,PluvConv
1971,Blanquillo,-32.886528,-55.620139,PluvConv
1621,Buena Vista,-32.128667,-54.159167,PluvConv
2095,Cañitas,-33.161028,-58.237,PluvConv
1973,Capilla Farruco,-32.838778,-55.518639,PluvConv
1572,Caraguatá Norte,-32.1215,-54.900528,PluvConv
1657,Caraguatá Sur,-32.245194,-54.992583,PluvConv
2480,Cardona,-33.872417,-57.369972,PluvConv
1869,Cardozo,-32.657889,-56.287667,PluvConv
2061,Carlos Reyles,-33.061111,-56.470083,PluvConv
11111,Carpintería,-32.842472,-55.896722,PluvConv
1626,Centurión,-32.145583,-53.787972,PluvConv
1348,Cerrillada,-31.436028,-54.722,PluvConv
1566,Cerro Cardozo,-32.041722,-55.555194,PluvConv
2073,Cerro Chato,-33.099556,-55.142222,PluvConv
2498,Cerro Colorado,-33.862556,-55.549194,PluvConv
1838,Cerro de la Cuentas,-32.618528,-54.593194,PluvConv
1279,Cerro Pelado,-31.472686,-55.149511,PluvConv
1300,Cerro Travieso,-31.455556,-56.256972,PluvConv
2392,Chamangá,-33.714333,-56.668528,PluvConv
1569,Cinco Sauces,-32.083611,-55.194417,PluvConv
1650,Clara,-32.223417,-55.731333,PluvConv
2167,Col. Rossell y Rius,-33.184528,-55.696778,PluvConv
2383,Corralito,-33.82875,-57.788056,PluvConv
1880,Cuchilla del Carmen,-32.719861,-55.0325,PluvConv
1444,Cuchilla del Ombú,-31.760667,-55.697833,PluvConv
2340,Cuchilla del Perdido,-33.709778,-57.264917,PluvConv
1603,Curtina,-32.145667,-56.113139,PluvConv
2354,Dr. Gallinal,-33.660444,-55.793972,PluvConv
1709,E.M. Melo,-32.367306,-54.192306,PluvConv
1147,E.M. Rivera,-30.896472,-55.542417,PluvConv
1405,E.M. Tacuarembó,-31.705972,-55.991028,PluvConv
2297,E.M. Trinidad,-33.536528,-56.915722,PluvConv
1856,E.M. Young,-32.68625,-57.649417,PluvConv
2337,Egaña,-33.602639,-57.631583,PluvConv
2147,Ejido,-33.278639,-57.974167,PluvConv
2053,El Aguila,-33.039778,-57.274417,PluvConv
1864,El Monumento ,-32.750861,-56.784639,PluvConv
2152,El Tala,-33.229222,-57.398861,PluvConv
1194,Est. Ataques,-31.095389,-55.687,PluvConv
1774,Est. Francia,-32.543528,-56.624833,PluvConv
1730,Est. La Fé,-32.539333,-56.644167,PluvConv
1917,Est. La Iberia,-32.872861,-56.283944,PluvConv
1818,Est. Las Cañadas,-32.569389,-56.630639,PluvConv
1688,Est. M.J.Quadros,-32.372806,-56.391611,PluvConv
1867,Est. Olazo,-32.717361,-56.456528,PluvConv
1817,Est. Rolón - Piquet,-32.675167,-56.897944,PluvConv
1961,Est. S. Real,-32.946556,-56.628028,PluvConv
2108,Feliciano,-33.186444,-56.808694,PluvConv
1793,Fraile Muerto,-32.512056,-54.523639,PluvConv
2301,Goñi,-33.519167,-56.413472,PluvConv
1417,Hospital,-31.656611,-54.622444,PluvConv
1308,La Calera,-31.394,-55.394444,PluvConv
1565,La Hilera,-32.077972,-55.659806,PluvConv
2198,La Laguna,-33.203278,-57.575639,PluvConv
1875,La Paloma,-32.730139,-55.5745,PluvConv
1312,La Puente,-31.468,-54.9615,PluvConv
1882,Laguna del Junco,-32.72825,-54.90225,PluvConv
1909,Las Flores Greco,-32.817833,-57.043333,PluvConv
22222,Los Tapes,-33.18575,-56.808556,PluvConv
1403,Luján,-31.65425,-56.152028,PluvConv
1580,Mangrullo,-32.098583,-54.048278,PluvConv
2357,Mansavillagra,-33.617778,-55.470806,PluvConv
2154,Marincho,-33.384417,-57.163583,PluvConv
1683,Merinos,-32.396472,-56.914417,PluvConv
1374,Minas de Corrales,-31.573222,-55.473778,PluvConv
1379,Moirones,-31.602639,-54.976111,PluvConv
2266,Nico Perez,-33.480639,-55.153083,PluvConv
1662,Palleros,-32.078083,-54.484917,PluvConv
2289,Palmitas,-33.507639,-57.798278,PluvConv
2351,Pantanoso,-33.527389,-55.955833,PluvConv
1224,Paso Ataques,-31.201083,-55.362194,PluvConv
1766,Paso de la Cruz,-32.52375,-57.16025,PluvConv
1370,Paso de las Carretas,-31.590444,-56.072306,PluvConv
1495,Paso de las Yeguas,-31.913278,-54.309194,PluvConv
1840,Paso de los Carros,-32.565083,-54.373361,PluvConv
1605,Paso de los Cuadrados,-32.167778,-55.947139,PluvConv
1768,Paso de los Mellizos,-33.331667,-57.711667,PluvConv
2107,Paso del Bote,-33.170583,-56.844389,PluvConv
1301,Paso del Medio,-31.45675,-56.072222,PluvConv
1692,Paso Hondo,-32.286583,-55.840306,PluvConv
1784,Paso Ramírez,-32.537194,-55.502861,PluvConv
1732,Peralta,-32.494444,-56.355056,PluvConv
2486,Pintos,-33.878972,-56.757194,PluvConv
2204,Porongos - Aviación,-33.493389,-56.897528,PluvConv
1537,Pueblo Noblia,-31.955917,-54.123667,PluvConv
1528,Puntas de Cinco Sauces,-31.954972,-55.039056,PluvConv
2349,Puntas de Maciel,-33.622694,-56.362278,PluvConv
2436,Puntas del Sauce,-33.829583,-57.016167,PluvConv
1884,Quebracho,-32.602611,-54.721361,PluvConv
2099,Rincón de Cololó,-33.063111,-57.900222,PluvConv
2384,Rodó,-33.69675,-57.531806,PluvConv
1539,San Diego,-31.994139,-53.954722,PluvConv
2016,San Jorge,-32.842583,-55.897028,PluvConv
1951,Sánchez Grande,-32.833583,-57.732528,PluvConv
2387,Santa Adelaida,-33.768028,-57.150056,PluvConv
2430,Santa Catalina,-33.7915,-57.49175,PluvConv
1771,Sarandí de Navarro,-32.542389,-56.861667,PluvConv
2395,Sarandí Grande,-33.722306,-56.327417,PluvConv
1686,Tiatucurá,-32.312972,-56.494556,PluvConv
1220,Tranqueras,-31.190778,-55.764944,PluvConv
1665,Tres Boliches,-32.281944,-54.162889,PluvConv
1792,Tres Islas,-32.514861,-54.688389,PluvConv
33333,Tres Puentes,-31.411444,-55.238972,PluvConv
1440,Valle Edén,-31.823972,-56.174611,PluvConv
1454,Vichadero,-31.778917,-54.6915,PluvConv
2164,Villa Carmen,-33.24175,-56.012222,PluvConv
2098,Villa Darwin,-33.12175,-57.639417,PluvConv
1484,Ansina,-31.876361,-55.467444,EstAut
2157,Barra de Porongos,-33.250556,-56.815556,EstAut
1339,Cuñapirú,-31.529722,-55.584167,EstAut
1963,E.M. Bonete,-32.833333,-56.423333,EstAut
2206,E.M. Durazno,-33.351056,-56.502,EstAut
2145,E.M. Mercedes,-33.250417,-58.068611,EstAut
2052,E.M. Palmar,-33.067,-57.460389,EstAut
1915,E.M. Paso de los Toros,-32.798694,-56.528833,EstAut
1697,Laguna II,-32.344028,-55.46425,EstAut
1338,Manuel Díaz,-31.528028,-55.684333,EstAut
1658,Paso Aguiar,-32.285056,-54.841,EstAut
1613,Paso de las Toscas,-32.156861,-55.026306,EstAut
1523,Paso de los Novillos,-31.972806,-55.671389,EstAut
2153,Paso de Lugo,-33.253222,-57.260083,EstAut
1653,Paso Laguna,-32.250361,-55.422083,EstAut
1741,Paso Las Piedras,-32.450944,-55.446306,EstAut
1617,Paso Mazangano,-32.107333,-54.674222,EstAut
1743,Paso Pereira,-32.443472,-55.22625,EstAut
1526,Picada de Coelho,-32.039444,-55.360694,EstAut
1558,Piedra Sola,-32.082167,-56.308139,EstAut
2257,Polanco del Yi,-33.390889,-56.156306,EstAut
1819,Salsipuedes,-32.647778,-56.592111,EstAut
1826,San Gregorio,-32.620611,-55.829167,EstAut
2215,Sarandí del Yi,-33.333111,-55.621,EstAut
1960,UTE Baygorria,-32.874333,-56.80625,EstAut
2237,Villa Soriano,-33.390889,-58.318111,EstAut
